time="2024-03-15T01:58:28Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:28Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:28Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:28Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:28Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:28Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:30Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:30Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:30Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:30Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:33Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:33Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:33Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:33Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/basic-app-set
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/basic-app-set
time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/kyverno
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/kyverno
time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/kyverno-policy
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/kyverno-policy
time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/prometheus
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/prometheus
time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/app-of-apps
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/app-of-apps
time="2024-03-15T01:58:34Z" level=info msg="Start processing" resource=argocd/argocd
time="2024-03-15T01:58:34Z" level=info msg="Processing completed" resource=argocd/argocd
